family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,32,3,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.8697916666666666,0.0238675817445616,0.7100955645243326,0.7100955645243326,3.910511573155721,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,64,3,0.0,0.5,0.5,0.4999999999999999,0.5,0.4409585518440984,0.7682291666666666,0.1108836919585612,3.18367960717943,3.18367960717943,5.334763844807942,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,128,3,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0962250448649375,0.5230034722222222,0.1815196325175158,4.471196466022068,4.471196466022068,5.751168409983317,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,32,3,0.1666666666666666,0.111111111111111,-0.0555555555555555,-0.0555555555555555,0.0,0.0,1.0,0.0,0.6398608949449327,0.8350232442220052,4.34455664952596,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,64,3,0.1666666666666666,0.3888888888888888,0.2222222222222222,0.2222222222222222,0.2666666666666666,0.4618802153517006,0.9333333333333332,0.1154700538379251,1.6912350124782989,1.786659812927246,4.792904853820801,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,128,3,0.1666666666666666,0.9444444444444444,0.7777777777777778,0.7777777777777778,0.9333333333333332,0.1154700538379251,0.6666666666666666,0.1892969448600091,2.758387592103746,2.7939294815063476,6.039432525634766,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,32,3,0.1666666666666666,0.111111111111111,-0.0555555555555555,-0.0555555555555555,0.0,0.0,1.0,0.0,0.5316987037658691,0.7198958079020182,4.336188236872355,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,64,3,0.1666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3999999999999999,0.529150262212918,0.9,0.1322875655532295,2.328448798921373,2.355035146077474,4.614899635314941,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,128,3,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.6,0.1984313483298443,4.109735939237806,4.162439664204915,6.460475603739421,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,32,3,0.1666666666666666,0.111111111111111,-0.0555555555555555,-0.0555555555555555,0.0,0.0,1.0,0.0,0.7106158468458389,0.8672091166178387,4.157177845637004,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,64,3,0.1666666666666666,0.2777777777777777,0.1111111111111111,0.1111111111111111,0.2,0.2,0.95,0.0499999999999999,1.5522287156846788,1.6543463389078774,4.916042963663737,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,128,3,0.1666666666666666,0.9444444444444444,0.7777777777777778,0.7777777777777778,0.9333333333333332,0.1154700538379251,0.6916666666666668,0.1010362971081845,2.712782118055556,2.6357016881306965,5.991164525349935,0.0
